Trace1,
Freq,,Amp,,
             5826521,Hz,              -99.77, dBm,
             5839854,Hz,             -103.30, dBm,
             5853187,Hz,              -97.58, dBm,
             5866520,Hz,              -97.04, dBm,
             5879853,Hz,             -106.82, dBm,
             5893186,Hz,             -104.06, dBm,
             5906519,Hz,              -99.16, dBm,
             5919852,Hz,              -99.55, dBm,
             5933185,Hz,             -107.99, dBm,
             5946518,Hz,              -99.95, dBm,
             5959851,Hz,              -97.79, dBm,
             5973184,Hz,             -102.40, dBm,
             5986517,Hz,             -106.14, dBm,
             5999850,Hz,             -101.28, dBm,
             6013183,Hz,             -103.44, dBm,
             6026516,Hz,             -108.00, dBm,
             6039849,Hz,              -99.49, dBm,
             6053182,Hz,              -98.96, dBm,
             6066515,Hz,              -97.61, dBm,
             6079848,Hz,             -103.09, dBm,
             6093181,Hz,             -103.83, dBm,
             6106514,Hz,             -110.65, dBm,
             6119847,Hz,              -98.07, dBm,
             6133180,Hz,              -95.47, dBm,
             6146513,Hz,             -102.42, dBm,
             6159846,Hz,              -98.90, dBm,
             6173179,Hz,             -101.50, dBm,
             6186512,Hz,             -100.15, dBm,
             6199845,Hz,             -104.93, dBm,
             6213178,Hz,             -101.22, dBm,
             6226511,Hz,             -100.58, dBm,
             6239844,Hz,              -98.77, dBm,
             6253177,Hz,              -96.05, dBm,
             6266510,Hz,             -103.98, dBm,
             6279843,Hz,              -94.93, dBm,
             6293176,Hz,             -101.52, dBm,
             6306509,Hz,              -96.59, dBm,
             6319842,Hz,             -103.48, dBm,
             6333175,Hz,              -97.59, dBm,
             6346508,Hz,             -107.64, dBm,
             6359841,Hz,              -99.45, dBm,
             6373174,Hz,              -98.86, dBm,
             6386507,Hz,              -99.30, dBm,
             6399840,Hz,             -104.26, dBm,
             6413173,Hz,             -101.63, dBm,
             6426506,Hz,             -100.61, dBm,
             6439839,Hz,              -97.48, dBm,
             6453172,Hz,             -106.38, dBm,
             6466505,Hz,             -101.07, dBm,
             6479838,Hz,             -106.05, dBm,
             6493171,Hz,              -96.08, dBm,
             6506504,Hz,             -102.47, dBm,
             6519837,Hz,              -99.25, dBm,
             6533170,Hz,             -103.89, dBm,
             6546503,Hz,             -100.37, dBm,
             6559836,Hz,             -104.42, dBm,
             6573169,Hz,              -95.63, dBm,
             6586502,Hz,             -105.28, dBm,
             6599835,Hz,              -95.11, dBm,
             6613168,Hz,              -95.49, dBm,
             6626501,Hz,             -110.72, dBm,
             6639834,Hz,              -99.26, dBm,
             6653167,Hz,             -103.90, dBm,
             6666500,Hz,             -104.43, dBm,
             6679833,Hz,             -102.50, dBm,
             6693166,Hz,              -98.21, dBm,
             6706499,Hz,             -104.30, dBm,
             6719832,Hz,              -99.90, dBm,
             6733165,Hz,              -97.28, dBm,
             6746498,Hz,              -97.90, dBm,
             6759831,Hz,              -99.74, dBm,
             6773164,Hz,              -96.06, dBm,
             6786497,Hz,              -97.23, dBm,
             6799830,Hz,              -99.36, dBm,
             6813163,Hz,             -103.19, dBm,
             6826496,Hz,             -101.79, dBm,
             6839829,Hz,              -99.07, dBm,
             6853162,Hz,             -104.06, dBm,
             6866495,Hz,             -100.50, dBm,
             6879828,Hz,             -105.62, dBm,
             6893161,Hz,              -98.79, dBm,
             6906494,Hz,              -97.30, dBm,
             6919827,Hz,             -100.42, dBm,
             6933160,Hz,              -97.37, dBm,
             6946493,Hz,             -104.34, dBm,
             6959826,Hz,             -101.42, dBm,
             6973159,Hz,              -99.02, dBm,
             6986492,Hz,             -102.01, dBm,
             6999825,Hz,             -102.54, dBm,
             7013158,Hz,             -102.54, dBm,
             7026491,Hz,             -102.12, dBm,
             7039824,Hz,             -102.33, dBm,
             7053157,Hz,             -103.22, dBm,
             7066490,Hz,              -98.81, dBm,
             7079823,Hz,             -103.23, dBm,
             7093156,Hz,             -100.97, dBm,
             7106489,Hz,              -94.55, dBm,
             7119822,Hz,             -107.95, dBm,
             7133155,Hz,              -98.68, dBm,
             7146488,Hz,             -100.80, dBm,
             7159821,Hz,             -100.98, dBm,
             7173154,Hz,              -97.10, dBm,
             7186487,Hz,             -105.82, dBm,
             7199820,Hz,             -102.04, dBm,
             7213153,Hz,             -103.73, dBm,
             7226486,Hz,              -95.58, dBm,
             7239819,Hz,             -100.81, dBm,
             7253152,Hz,             -109.04, dBm,
             7266485,Hz,              -99.81, dBm,
             7279818,Hz,              -97.53, dBm,
             7293151,Hz,             -102.58, dBm,
             7306484,Hz,             -102.26, dBm,
             7319817,Hz,             -102.37, dBm,
             7333150,Hz,             -109.52, dBm,
             7346483,Hz,              -97.67, dBm,
             7359816,Hz,             -102.48, dBm,
             7373149,Hz,             -100.23, dBm,
             7386482,Hz,             -101.57, dBm,
             7399815,Hz,             -101.57, dBm,
             7413148,Hz,             -102.71, dBm,
             7426481,Hz,              -98.25, dBm,
             7439814,Hz,              -97.68, dBm,
             7453147,Hz,             -103.05, dBm,
             7466480,Hz,             -104.14, dBm,
             7479813,Hz,             -104.68, dBm,
             7493146,Hz,             -101.21, dBm,
