Trace1,
Freq,,Amp,,
            83199792,Hz,              -84.65, dBm,
            83216458,Hz,              -82.57, dBm,
            83233124,Hz,              -90.88, dBm,
            83249790,Hz,              -90.32, dBm,
            83266456,Hz,              -86.44, dBm,
            83283122,Hz,              -89.21, dBm,
            83299788,Hz,              -81.00, dBm,
            83316454,Hz,              -85.46, dBm,
            83333120,Hz,              -84.09, dBm,
            83349786,Hz,              -79.19, dBm,
            83366452,Hz,              -87.68, dBm,
            83383118,Hz,              -86.03, dBm,
            83399784,Hz,              -89.32, dBm,
            83416450,Hz,              -89.72, dBm,
            83433116,Hz,              -85.96, dBm,
            83449782,Hz,              -87.05, dBm,
            83466448,Hz,              -87.66, dBm,
            83483114,Hz,              -86.68, dBm,
            83499780,Hz,              -92.33, dBm,
            83516446,Hz,              -82.70, dBm,
            83533112,Hz,              -94.09, dBm,
            83549778,Hz,              -91.36, dBm,
            83566444,Hz,              -96.62, dBm,
            83583110,Hz,              -82.94, dBm,
            83599776,Hz,              -83.21, dBm,
            83616442,Hz,              -86.99, dBm,
            83633108,Hz,              -87.58, dBm,
            83649774,Hz,              -82.28, dBm,
            83666440,Hz,              -81.17, dBm,
            83683106,Hz,              -84.51, dBm,
            83699772,Hz,              -89.23, dBm,
            83716438,Hz,              -84.31, dBm,
            83733104,Hz,              -83.22, dBm,
            83749770,Hz,              -92.27, dBm,
            83766436,Hz,              -84.83, dBm,
            83783102,Hz,              -88.39, dBm,
            83799768,Hz,              -90.53, dBm,
            83816434,Hz,              -96.31, dBm,
            83833100,Hz,              -85.48, dBm,
            83849766,Hz,              -88.46, dBm,
            83866432,Hz,              -87.47, dBm,
            83883098,Hz,              -89.12, dBm,
            83899764,Hz,              -91.67, dBm,
            83916430,Hz,              -81.78, dBm,
            83933096,Hz,              -86.79, dBm,
            83949762,Hz,              -85.50, dBm,
            83966428,Hz,              -79.63, dBm,
            83983094,Hz,              -91.54, dBm,
            83999760,Hz,              -88.18, dBm,
            84016426,Hz,              -92.46, dBm,
            84033092,Hz,              -91.18, dBm,
            84049758,Hz,              -83.63, dBm,
            84066424,Hz,              -86.93, dBm,
            84083090,Hz,              -83.92, dBm,
            84099756,Hz,              -85.68, dBm,
            84116422,Hz,              -93.84, dBm,
            84133088,Hz,              -91.44, dBm,
            84149754,Hz,              -90.90, dBm,
            84166420,Hz,              -85.82, dBm,
            84183086,Hz,              -98.10, dBm,
            84199752,Hz,              -92.12, dBm,
            84216418,Hz,              -90.03, dBm,
            84233084,Hz,              -90.31, dBm,
            84249750,Hz,              -90.06, dBm,
            84266416,Hz,              -88.75, dBm,
            84283082,Hz,              -83.76, dBm,
            84299748,Hz,              -87.65, dBm,
            84316414,Hz,              -87.79, dBm,
            84333080,Hz,              -86.67, dBm,
            84349746,Hz,              -85.64, dBm,
            84366412,Hz,              -84.43, dBm,
            84383078,Hz,              -85.96, dBm,
            84399744,Hz,              -92.37, dBm,
            84416410,Hz,              -93.61, dBm,
            84433076,Hz,              -90.21, dBm,
            84449742,Hz,              -83.08, dBm,
            84466408,Hz,              -86.53, dBm,
            84483074,Hz,              -94.25, dBm,
            84499740,Hz,              -87.48, dBm,
            84516406,Hz,              -85.52, dBm,
            84533072,Hz,              -95.54, dBm,
            84549738,Hz,              -93.81, dBm,
            84566404,Hz,              -96.52, dBm,
            84583070,Hz,              -85.82, dBm,
            84599736,Hz,              -91.90, dBm,
            84616402,Hz,              -99.49, dBm,
            84633068,Hz,              -89.38, dBm,
            84649734,Hz,              -87.69, dBm,
            84666400,Hz,              -89.83, dBm,
            84683066,Hz,              -92.12, dBm,
            84699732,Hz,              -87.23, dBm,
            84716398,Hz,              -90.29, dBm,
            84733064,Hz,              -86.43, dBm,
            84749730,Hz,              -92.63, dBm,
            84766396,Hz,              -94.55, dBm,
            84783062,Hz,              -94.61, dBm,
            84799728,Hz,              -88.92, dBm,
            84816394,Hz,              -91.46, dBm,
            84833060,Hz,              -91.98, dBm,
            84849726,Hz,              -85.40, dBm,
            84866392,Hz,              -94.83, dBm,
            84883058,Hz,              -93.59, dBm,
            84899724,Hz,              -89.47, dBm,
            84916390,Hz,              -88.19, dBm,
            84933056,Hz,              -86.53, dBm,
            84949722,Hz,              -94.55, dBm,
            84966388,Hz,              -86.63, dBm,
            84983054,Hz,              -88.46, dBm,
            84999720,Hz,              -92.35, dBm,
            85016386,Hz,              -91.01, dBm,
            85033052,Hz,              -89.82, dBm,
            85049718,Hz,              -87.22, dBm,
            85066384,Hz,              -97.46, dBm,
            85083050,Hz,              -96.38, dBm,
            85099716,Hz,              -88.70, dBm,
            85116382,Hz,              -87.88, dBm,
            85133048,Hz,             -102.07, dBm,
            85149714,Hz,              -91.29, dBm,
            85166380,Hz,              -85.79, dBm,
            85183046,Hz,              -85.00, dBm,
            85199712,Hz,              -85.95, dBm,
            85216378,Hz,              -89.00, dBm,
            85233044,Hz,              -98.84, dBm,
            85249710,Hz,              -93.77, dBm,
            85266376,Hz,              -87.53, dBm,
            85283042,Hz,              -93.74, dBm,
            85299708,Hz,              -92.33, dBm,
            85316374,Hz,              -97.31, dBm,
            85333040,Hz,              -85.52, dBm,
            85349706,Hz,              -88.36, dBm,
            85366372,Hz,              -90.41, dBm,
            85383038,Hz,              -86.87, dBm,
            85399704,Hz,              -88.88, dBm,
            85416370,Hz,              -94.05, dBm,
            85433036,Hz,              -88.74, dBm,
            85449702,Hz,              -92.86, dBm,
            85466368,Hz,              -90.60, dBm,
            85483034,Hz,              -87.46, dBm,
            85499700,Hz,              -85.63, dBm,
            85516366,Hz,              -89.25, dBm,
            85533032,Hz,              -88.24, dBm,
            85549698,Hz,              -94.07, dBm,
            85566364,Hz,              -92.75, dBm,
            85583030,Hz,              -96.15, dBm,
            85599696,Hz,              -92.88, dBm,
            85616362,Hz,              -97.16, dBm,
            85633028,Hz,              -89.28, dBm,
            85649694,Hz,              -92.93, dBm,
            85666360,Hz,              -87.50, dBm,
            85683026,Hz,              -96.32, dBm,
            85699692,Hz,              -91.54, dBm,
            85716358,Hz,              -95.18, dBm,
            85733024,Hz,              -94.66, dBm,
            85749690,Hz,              -90.80, dBm,
            85766356,Hz,              -94.89, dBm,
            85783022,Hz,              -93.97, dBm,
            85799688,Hz,              -96.18, dBm,
            85816354,Hz,              -87.02, dBm,
